TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-144.0,-0.6,False,8.059831345242031,0.0642,6.419999999999999,8.408004166666666,0.0812875,8.12875
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-120.0,-0.5,True,8.090974244676948,0.0642,6.419999999999999,8.398683333333333,0.0823,8.23
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-96.0,-0.4,True,8.13215915675485,0.0642,6.419999999999999,8.3687125,0.08320833333333334,8.320833333333335
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-72.0,-0.3,True,8.17608913672348,0.0642,6.419999999999999,8.326408333333333,0.08410416666666667,8.410416666666668
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-48.0,-0.2,True,8.214643355311091,0.0642,6.419999999999999,8.278204166666667,0.0857875,8.57875
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-24.0,-0.1,True,8.240528519963355,0.0642,6.419999999999999,8.233437499999999,0.08675416666666667,8.675416666666667
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.0,0.0,True,8.247781090694264,0.0642,6.419999999999999,8.177191666666666,0.086725,8.6725
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",24.0,0.1,True,8.230753335500664,0.0642,6.419999999999999,8.11985,0.0876875,8.76875
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",48.0,0.2,True,8.182843575750782,0.0642,6.419999999999999,8.045795833333333,0.08802916666666666,8.802916666666667
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",72.0,0.3,True,8.09710292723415,0.0642,6.419999999999999,7.992312500000001,0.08847916666666668,8.847916666666668
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",96.0,0.4,True,7.969939232407161,0.0642,6.419999999999999,7.971504166666666,0.087875,8.7875
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",120.0,0.5,True,7.806019077360235,0.0642,6.419999999999999,7.900383333333333,0.08824166666666666,8.824166666666667
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",144.0,0.6,False,7.620507531166796,0.0642,6.419999999999999,7.8137875,0.08926666666666666,8.926666666666666
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",168.0,0.7,False,7.4369685705861786,0.0642,6.419999999999999,7.7564625,0.08883333333333333,8.883333333333333
