turbine_id,y_over_D,z_over_D,U_LES_mps,TI_LES_percent,inside_rotor_mask
T136,-1.2,0.3541666666666667,7.8172,7.920000000000001,False
T136,-1.1,0.3541666666666667,7.8073,8.01,False
T136,-1.0,0.3541666666666667,7.7965,8.01,False
T136,-0.9,0.3541666666666667,7.793,8.18,False
T136,-0.8,0.3541666666666667,7.7915,8.23,False
T136,-0.7,0.3541666666666667,7.8005,8.309999999999999,False
T136,-0.6,0.3541666666666667,7.8203,8.38,False
T136,-0.5,0.3541666666666667,7.8261,8.41,False
T136,-0.4,0.3541666666666667,7.8251,8.25,True
T136,-0.3,0.3541666666666667,7.8103,8.32,True
T136,-0.2,0.3541666666666667,7.7805,8.48,True
T136,-0.1,0.3541666666666667,7.736,8.59,True
T136,0.0,0.3541666666666667,7.677,8.58,True
T136,0.1,0.3541666666666667,7.6112,8.64,True
T136,0.2,0.3541666666666667,7.5505,8.61,True
T136,0.3,0.3541666666666667,7.5155,8.469999999999999,True
T136,0.4,0.3541666666666667,7.492,8.39,True
T136,0.5,0.3541666666666667,7.437,8.38,False
T136,0.6,0.3541666666666667,7.3634,8.219999999999999,False
T136,0.7,0.3541666666666667,7.3097,8.219999999999999,False
T136,0.8,0.3541666666666667,7.2583,8.290000000000001,False
T136,0.9,0.3541666666666667,7.2181,8.200000000000001,False
T136,1.0,0.3541666666666667,7.1949,8.129999999999999,False
T136,1.1,0.3541666666666667,7.2025,8.27,False
T136,1.2,0.3541666666666667,7.23,8.17,False
T136,1.3,0.3541666666666667,7.2675,7.99,False
T136,1.4,0.3541666666666667,7.3141,8.05,False
T136,1.5,0.3541666666666667,7.3786,8.110000000000001,False
T136,-1.5,0.45416666666666666,7.9812,8.0,False
T136,-1.4,0.45416666666666666,8.0062,7.86,False
T136,-1.3,0.45416666666666666,8.0328,7.6899999999999995,False
T136,-1.2,0.45416666666666666,8.0544,7.7,False
T136,-1.1,0.45416666666666666,8.0504,7.9,False
T136,-1.0,0.45416666666666666,8.0359,7.93,False
T136,-0.9,0.45416666666666666,8.0444,8.06,False
T136,-0.8,0.45416666666666666,8.0462,8.17,False
T136,-0.7,0.45416666666666666,8.0646,8.16,False
T136,-0.6,0.45416666666666666,8.08,8.260000000000002,False
T136,-0.5,0.45416666666666666,8.0743,8.3,False
T136,-0.4,0.45416666666666666,8.0726,8.17,True
T136,-0.3,0.45416666666666666,8.0477,8.33,True
T136,-0.2,0.45416666666666666,8.0069,8.53,True
T136,-0.1,0.45416666666666666,7.9547,8.62,True
T136,0.0,0.45416666666666666,7.8938,8.67,True
T136,0.1,0.45416666666666666,7.824,8.780000000000001,True
T136,0.2,0.45416666666666666,7.771,8.7,True
T136,0.3,0.45416666666666666,7.735,8.57,True
T136,0.4,0.45416666666666666,7.6988,8.540000000000001,True
T136,0.5,0.45416666666666666,7.634,8.58,False
T136,0.6,0.45416666666666666,7.5529,8.52,False
T136,0.7,0.45416666666666666,7.4988,8.51,False
T136,0.8,0.45416666666666666,7.4468,8.52,False
T136,0.9,0.45416666666666666,7.404,8.450000000000001,False
T136,1.0,0.45416666666666666,7.3857,8.38,False
T136,1.1,0.45416666666666666,7.396,8.33,False
T136,1.2,0.45416666666666666,7.4296,8.24,False
T136,1.3,0.45416666666666666,7.4724,8.24,False
T136,1.4,0.45416666666666666,7.5234,8.24,False
T136,1.5,0.45416666666666666,7.5868,8.200000000000001,False
T136,-1.5,0.5541666666666667,8.1394,8.219999999999999,False
T136,-1.4,0.5541666666666667,8.1906,8.05,False
T136,-1.3,0.5541666666666667,8.2264,7.8,False
T136,-1.2,0.5541666666666667,8.2389,7.7,False
T136,-1.1,0.5541666666666667,8.2423,7.8,False
T136,-1.0,0.5541666666666667,8.2383,7.89,False
T136,-0.9,0.5541666666666667,8.2496,7.91,False
T136,-0.8,0.5541666666666667,8.2539,8.05,False
T136,-0.7,0.5541666666666667,8.2732,8.09,False
T136,-0.6,0.5541666666666667,8.2861,8.15,False
T136,-0.5,0.5541666666666667,8.2879,8.23,False
T136,-0.4,0.5541666666666667,8.2682,8.25,True
T136,-0.3,0.5541666666666667,8.2254,8.459999999999999,True
T136,-0.2,0.5541666666666667,8.1801,8.6,True
T136,-0.1,0.5541666666666667,8.1257,8.64,True
T136,0.0,0.5541666666666667,8.0606,8.63,True
T136,0.1,0.5541666666666667,7.9983,8.790000000000001,True
T136,0.2,0.5541666666666667,7.9331,8.81,True
T136,0.3,0.5541666666666667,7.8884,8.77,True
T136,0.4,0.5541666666666667,7.8666,8.66,True
T136,0.5,0.5541666666666667,7.8015,8.64,False
T136,0.6,0.5541666666666667,7.7137,8.7,False
T136,0.7,0.5541666666666667,7.6551,8.77,False
T136,0.8,0.5541666666666667,7.6067,8.799999999999999,False
T136,0.9,0.5541666666666667,7.5663,8.77,False
T136,1.0,0.5541666666666667,7.5501,8.68,False
T136,1.1,0.5541666666666667,7.5751,8.450000000000001,False
T136,1.2,0.5541666666666667,7.6076,8.27,False
T136,1.3,0.5541666666666667,7.6508,8.309999999999999,False
T136,1.4,0.5541666666666667,7.6848,8.35,False
T136,1.5,0.5541666666666667,7.7376,8.44,False
T136,-1.5,0.6541666666666667,8.3143,8.469999999999999,False
T136,-1.4,0.6541666666666667,8.3666,8.25,False
T136,-1.3,0.6541666666666667,8.4092,7.9799999999999995,False
T136,-1.2,0.6541666666666667,8.4234,7.82,False
T136,-1.1,0.6541666666666667,8.431,7.7,False
T136,-1.0,0.6541666666666667,8.4313,7.71,False
T136,-0.9,0.6541666666666667,8.4227,7.6899999999999995,False
T136,-0.8,0.6541666666666667,8.4208,7.91,False
T136,-0.7,0.6541666666666667,8.4453,8.03,False
T136,-0.6,0.6541666666666667,8.4582,8.12,False
T136,-0.5,0.6541666666666667,8.4443,8.23,False
T136,-0.4,0.6541666666666667,8.4101,8.35,True
T136,-0.3,0.6541666666666667,8.368,8.39,True
T136,-0.2,0.6541666666666667,8.3186,8.57,True
T136,-0.1,0.6541666666666667,8.2778,8.690000000000001,True
T136,0.0,0.6541666666666667,8.2252,8.690000000000001,True
T136,0.1,0.6541666666666667,8.1699,8.76,True
