turbine,case,seed,U,mean_thrust,std_thrust,DEL
T225,Waked_TurbOPark_A0.04,101,10,2009418.4577601075,129002.82967415027,135313.22006527838
T225,Waked_TurbOPark_A0.04,102,10,1992599.4816250254,179201.51820776044,163087.6286433013
T225,Waked_TurbOPark_A0.04,103,10,1998721.1113834728,164767.89352529636,138192.2479067306
T225,Waked_TurbOPark_A0.04,104,10,2002905.3701857203,150760.97929639785,130067.22810358704
T225,Waked_TurbOPark_A0.04,105,10,2005122.2842555523,180653.55728530366,170004.78200308027
T225,Waked_TurbOPark_A0.04,106,10,2003302.5227673044,159521.89627998165,141140.7618032626
T225,Waked_TurbOPark_A0.06,101,10,2009418.4577601075,129002.82967415027,135313.22006527838
T225,Waked_TurbOPark_A0.06,102,10,1992599.4816250254,179201.51820776044,163087.6286433013
T225,Waked_TurbOPark_A0.06,103,10,1998721.1113834728,164767.89352529636,138192.2479067306
T225,Waked_TurbOPark_A0.06,104,10,2002905.3701857203,150760.97929639785,130067.22810358704
T225,Waked_TurbOPark_A0.06,105,10,2005122.2842555523,180653.55728530366,170004.78200308027
T225,Waked_TurbOPark_A0.06,106,10,2003302.5227673044,159521.89627998165,141140.7618032626
T238,LES,101,10,1432716.7945694113,141289.94995942418,167488.40780361812
T238,LES,102,10,1412774.940653156,200689.30032832889,179551.22061201994
T238,LES,103,10,1419199.6218113508,178675.17418552132,150791.69915691056
T238,LES,104,10,1423201.9062115476,154368.78126457983,139255.73305367836
T238,LES,105,10,1427272.3731230318,189905.652834632,180192.5034949229
T238,LES,106,10,1422299.9525550893,170134.39420006794,146583.210348396
T238,Waked_BPA,101,10,1588121.8670690074,212356.17554585685,229846.07236581368
T238,Waked_BPA,102,10,1560171.322384307,297064.179402632,275278.9403309016
T238,Waked_BPA,103,10,1565678.480197551,265062.35446499125,218534.60158337335
T238,Waked_BPA,104,10,1573050.1453396077,234114.73465325206,200490.9695241541
T238,Waked_BPA,105,10,1578287.2877242267,282675.41779456055,265890.06873885286
T238,Waked_BPA,106,10,1573319.3329735282,251731.83223826345,225738.78272553819
T238,Waked_NPA,101,10,1658833.3046030034,193391.05506909965,209551.0302657761
T238,Waked_NPA,102,10,1633342.4443643657,271918.41659419134,251158.85527628477
T238,Waked_NPA,103,10,1639606.1590428755,241058.0769950236,198945.52842935955
T238,Waked_NPA,104,10,1647396.8957388746,215006.18048216894,180726.41775056534
T238,Waked_NPA,105,10,1650633.1792059436,257699.8035526626,240796.71627670416
T238,Waked_NPA,106,10,1646231.7865940204,230917.9879592753,204824.1493912661
T238,Waked_TurbOPark_A0.04,101,10,1384248.0353360649,130525.15211228254,155576.5531656417
T238,Waked_TurbOPark_A0.04,102,10,1365217.0950991348,189764.33846393187,173451.6854307351
T238,Waked_TurbOPark_A0.04,103,10,1370569.0918712015,172130.8901601284,140894.20029015493
T238,Waked_TurbOPark_A0.04,104,10,1374809.3118249902,152057.99677909233,136986.6679796043
T238,Waked_TurbOPark_A0.04,105,10,1377524.6716210009,181899.91543038722,171387.56227736385
T238,Waked_TurbOPark_A0.04,106,10,1375991.9914314402,163367.31712412983,143136.53546602328
T238,Waked_TurbOPark_A0.06,101,10,1529885.2154594553,146000.0777746897,163789.45105864704
T238,Waked_TurbOPark_A0.06,102,10,1509966.2223267797,208053.0063368617,192077.08381286173
T238,Waked_TurbOPark_A0.06,103,10,1515214.0267901523,187451.8573415925,154454.47558810198
T238,Waked_TurbOPark_A0.06,104,10,1520904.6949678455,165775.7615547828,141200.2711746264
T238,Waked_TurbOPark_A0.06,105,10,1522353.0572700193,199253.58813463568,188144.5445415198
T238,Waked_TurbOPark_A0.06,106,10,1520967.7385391283,178315.78547324287,156090.41882251255
T1,NTM,101,10,2208399.8772805696,122697.74799942602,121075.79554911233
T1,NTM,102,10,2172817.003808337,150563.8477065706,145965.32944050673
T1,NTM,103,10,2197082.4734101812,154665.69690740676,133431.48184050963
T1,NTM,104,10,2203181.788429712,158375.8281988463,137149.6138623799
T1,NTM,105,10,2200189.9380322676,183328.319062929,170172.63896089225
T1,NTM,106,10,2197669.80428736,154510.28380335256,136490.28013416624
T1,Ieff,101,10,2191448.5220826855,214728.64342437297,197133.19650380168
T1,Ieff,102,10,2058064.2828898032,214873.82522439444,246338.14705163296
T1,Ieff,103,10,2118267.071172406,207617.3307803062,208579.88222978113
T1,Ieff,104,10,2142169.4821895706,249049.30208954946,239817.18597512483
T1,Ieff,105,10,2060184.4040159064,257388.9120001442,258908.69554952267
T1,Ieff,106,10,2130260.5306730196,247658.41759178252,235988.6854432292
